claim_id,status,bill_id
1,true,37
2,false,81
3,false,149
4,true,193
5,true,118
6,true,129
7,true,42
8,false,167
9,false,119
10,false,139
11,false,94
12,true,67
13,true,169
14,true,88
15,true,9
16,true,191
17,false,99
18,false,46
19,true,80
20,false,137
21,true,162
22,true,132
23,true,143
24,true,130
25,true,89
26,false,199
27,true,184
28,true,182
29,true,144
30,true,83
31,true,78
32,true,179
33,true,165
34,true,111
35,false,125
36,false,43
37,true,142
38,false,22
39,true,4
40,true,14
41,true,200
42,false,154
43,false,65
44,true,51
45,true,121
46,true,104
47,true,70
48,false,122
49,false,163
50,true,188
51,false,197
52,false,2
53,true,16
54,false,41
55,false,113
56,true,134
57,true,164
58,true,106
59,false,26
60,true,59
61,true,95
62,true,87
63,true,194
64,true,66
65,true,140
66,true,17
67,true,156
68,true,82
69,false,171
70,true,29
71,true,158
72,true,107
73,false,160
74,false,74
75,true,183
76,true,53
77,false,181
78,false,31
79,true,103
80,true,98
81,false,8
82,true,123
83,true,166
84,false,138
85,true,38
86,true,85
87,false,25
88,true,61
89,false,34
90,true,44
91,false,128
92,true,146
93,true,49
94,false,60
95,true,13
96,false,195
97,true,79
98,false,187
99,true,73
100,false,148
101,true,147
102,true,185
103,true,114
104,true,124
105,true,1
106,true,86
107,true,63
108,false,54
109,false,48
110,true,28
111,false,155
112,false,178
113,true,21
114,true,11
115,true,47
116,true,97
117,false,115
118,true,64
119,true,145
120,false,198
121,true,84
122,false,190
123,false,96
124,false,36
125,true,141
126,true,52
127,false,176
128,true,7
129,false,40
130,false,108
131,true,168
132,true,71
133,false,127
134,false,161
135,true,50
136,true,19
137,false,39
138,false,153
139,true,56
140,true,192
141,true,173
142,true,45
143,false,90
144,true,157
145,false,5
146,true,33
147,true,112
148,true,131
149,false,110
150,false,100
151,true,189
152,false,32
153,false,92
154,false,68
155,true,69
156,false,151
157,true,109
158,true,62
159,true,57
160,true,93
161,true,23
162,false,150
163,true,15
164,false,152
165,false,102
166,false,101
167,true,55
168,true,76
169,false,10
170,false,35
171,false,159
172,true,18
173,true,3
174,false,174
175,true,72
176,false,91
177,true,24
178,true,58
179,true,180
180,false,120
181,false,117
182,false,133
183,true,170
184,false,12
185,true,174
186,false,37
187,true,102
188,false,172
189,true,39
190,false,86
191,true,60
192,false,130
193,false,88
194,true,141
195,true,10
196,false,198
197,false,188
198,true,55
199,false,68
200,true,104
